run_time,read_time,accel_x,accel_y,accel_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z
0.0179,0.0179,-0.1214,-0.0185,9.4361,0.5870,0.1152,-0.5386,-0.0140,-0.0641,0.0524
0.0360,0.0179,-0.1268,-0.0341,9.4528,0.5848,0.1135,-0.5331,-0.0148,-0.0695,0.0560
0.0551,0.0188,-0.1155,-0.0162,9.4283,0.5873,0.1119,-0.5443,-0.0171,-0.0722,0.0560
0.0771,0.0218,-0.1143,-0.0108,9.3882,0.5803,0.1133,-0.5305,-0.0208,-0.0719,0.0591
0.0960,0.0186,-0.1083,-0.0162,9.4917,0.5803,0.1133,-0.5305,-0.0254,-0.0721,0.0588
0.1148,0.0186,-0.0945,-0.0275,9.4636,0.5862,0.1110,-0.5391,-0.0284,-0.0704,0.0557
0.1328,0.0178,-0.1172,-0.0299,9.4379,0.5881,0.1110,-0.5404,-0.0266,-0.0646,0.0570
0.1508,0.0178,-0.1208,-0.0054,9.4427,0.5881,0.1110,-0.5404,-0.0385,-0.0660,0.0615
0.1688,0.0178,-0.0826,-0.0263,9.4361,0.5820,0.1163,-0.5390,-0.0463,-0.0597,0.0699
0.1868,0.0178,-0.1041,-0.0060,9.4062,0.5895,0.1057,-0.5375,-0.0486,-0.0602,0.0728
0.2048,0.0177,-0.1125,-0.0162,9.4116,0.5879,0.1135,-0.5449,-0.0545,-0.0554,0.0706
0.2228,0.0178,-0.1149,-0.0197,9.4170,0.5879,0.1135,-0.5449,-0.0559,-0.0524,0.0721
0.2408,0.0178,-0.0849,-0.0233,9.4367,0.5845,0.1203,-0.5480,-0.0522,-0.0438,0.0660
0.2588,0.0177,-0.0730,-0.0114,9.4421,0.5806,0.1130,-0.5369,-0.0415,-0.0137,0.0423
0.2768,0.0178,-0.0849,-0.0060,9.4439,0.5806,0.1130,-0.5369,-0.0794,-0.0632,0.0950
0.2948,0.0177,-0.0975,-0.0179,9.4379,0.5853,0.1133,-0.5429,-0.0565,-0.0287,0.0695
0.3128,0.0178,-0.1131,-0.0078,9.4714,0.5853,0.1091,-0.5404,-0.0686,-0.0362,0.0779
0.3308,0.0178,-0.0688,-0.0287,9.5659,0.5853,0.1091,-0.5404,-0.0646,-0.0284,0.0739
0.3488,0.0178,-0.1244,-0.0263,9.4995,0.5895,0.1113,-0.5379,-0.0594,-0.0231,0.0687
0.3669,0.0179,-0.1454,-0.0305,9.4361,0.5901,0.1155,-0.5348,-0.0489,-0.0072,0.0582
0.3859,0.0186,-0.1412,-0.0365,9.4875,0.5862,0.1060,-0.5289,-0.0551,-0.0116,0.0615
